Bus (ID);Bus (numéro);Etat;Ligne (ID);Ligne (nom court);Code du sens;Destination;Coordonnées;Avance / Retard
163437456;163437456;En ligne;0050;50;1;;48.109858,-1.673956;20
120775473;120775473;Hors-service;;;;;48.11024,-1.641955;
148816213;148816213;En ligne;0001;C1;1;;48.110097,-1.680182;-109
415403534;415403534;Hors-service;;;;;48.096637,-1.625945;
120174600;120174600;Hors-service;;;;;48.109918,-1.642358;
147614467;147614467;Inconnu;0006;C6;0;;48.065756,-1.723705;
162836583;162836583;Hors-service;;;;;48.064395,-1.702993;
101146955;101146955;En ligne;0012;12;1;;48.121264,-1.705796;-217
146212430;146212430;Hors-service;;;;;48.110236,-1.644351;
161434546;161434546;Hors-service;;;;;48.064798,-1.703069;
100746373;100746373;En ligne;0012;12;0;;48.125455,-1.682297;-114
145811848;145811848;En ligne;0006;C6;0;;48.113435,-1.590347;0
160833673;160833673;Hors-service;;;;;48.064,-1.701156;
82119310;82119310;Hors-service;;;;;48.109358,-1.641232;
145210975;145210975;Hors-service;;;;;48.110312,-1.642191;
160232800;160232800;Hors-service;;;;;48.064959,-1.703312;
81919019;81919019;Hors-service;;;;;48.111192,-1.64387;
144610102;144610102;Hors-service;;;;;48.110559,-1.643706;
150218250;150218250;Hors-service;;;;;48.110878,-1.644986;
81518437;81518437;Hors-service;;;;;48.109355,-1.641312;
143808938;143808938;En ligne;0004;C4;1;;48.117064,-1.633926;19
150418541;150418541;En ligne;0009;9;1;;48.104011,-1.712536;95
81318146;81318146;Hors-service;;;;;48.109355,-1.641312;
120374891;120374891;Hors-service;;;;;48.101516,-1.731155;
148415631;148415631;En ligne;0003;C3;1;;48.114569,-1.657425;-1
66496612;66496612;Hors-service;;;;;48.146798,-1.706348;
101547537;101547537;En ligne;0012;12;0;;48.091224,-1.658516;-56
147814758;147814758;Hors-service;;;;;48.110234,-1.643947;
65695448;65695448;Hors-service;;;;;48.053752,-1.719553;
81117855;81117855;Hors-service;;;;;48.109913,-1.643394;
147414176;147414176;Hors-service;;;;;48.110239,-1.644028;
64894284;64894284;Hors-service;;;;;48.110558,-1.642118;
80917564;80917564;Hors-service;;;;;48.109433,-1.641386;
147013594;147013594;En ligne;0004;C4;1;;48.108727,-1.696711;-35
64293411;64293411;Hors-service;;;;;48.051915,-1.717708;
80316691;80316691;Hors-service;;;;;48.10936,-1.641636;
146613012;146613012;En ligne;0009;9;1;;48.108959,-1.663432;-194
62891374;62891374;Hors-service;;;;;48.10952,-1.641233;
66096030;66096030;Hors-service;;;;;48.146799,-1.705634;
145411266;145411266;En ligne;0001;C1;0;;48.127145,-1.640493;19
62490792;62490792;Hors-service;;;;;48.110315,-1.640508;
65094575;65094575;Hors-service;;;;;48.099516,-1.632508;
144209520;144209520;En ligne;0009;9;0;;48.134203,-1.658296;317
62290501;62290501;Hors-service;;;;;48.109595,-1.641387;
65294866;65294866;Hors-service;;;;;48.099597,-1.633875;
143608647;143608647;En ligne;0001;C1;0;;48.107497,-1.680288;-14
62090210;62090210;Hors-service;;;;;48.109592,-1.641468;
64693993;64693993;Hors-service;;;;;48.110397,-1.642992;
142807483;142807483;En ligne;0006;C6;1;;48.086612,-1.707163;98
61689628;61689628;Hors-service;;;;;48.064,-1.700914;
64493702;64493702;Hors-service;;;;;48.110152,-1.64075;
142406901;142406901;Hors-service;;;;;48.110473,-1.644277;
50873914;50873914;En ligne;0053;53;1;;48.109866,-1.678277;-10
63892829;63892829;Hors-service;;;;;48.052398,-1.717146;
142607192;142607192;En ligne;0002;C2;1;;48.109882,-1.683326;10
50673623;50673623;En ligne;0053;53;1;;48.122721,-1.852511;-50
63492247;63492247;Hors-service;;;;;48.111119,-1.64459;
120575182;120575182;Hors-service;;;;;48.109912,-1.642276;
49872459;49872459;Hors-service;;;;;48.109758,-1.641388;
62691083;62691083;Hors-service;;;;;48.109512,-1.640747;
100546082;100546082;En ligne;0012;12;1;;48.109515,-1.677816;-76
49071295;49071295;Hors-service;;;;;48.109757,-1.64163;
61889919;61889919;Hors-service;;;;;48.063755,-1.700515;
100345791;100345791;Hors-service;;;;;48.110794,-1.644588;
47869549;47869549;En ligne;0003;C3;0;;48.08383,-1.676766;-202
61489337;61489337;Hors-service;;;;;48.064075,-1.70131;
80717273;80717273;Hors-service;;;;;48.109358,-1.641474;
47268676;47268676;Hors-service;;;;;48.110158,-1.642675;
61289046;61289046;Hors-service;;;;;48.064153,-1.701385;
80516982;80516982;Hors-service;;;;;48.109433,-1.641629;
47068385;47068385;Hors-service;;;;;48.109753,-1.642195;
50072750;50072750;Hors-service;;;;;48.116155,-1.577876;
80116400;80116400;Hors-service;;;;;48.109357,-1.641716;
46868094;46868094;Hors-service;;;;;48.111195,-1.643789;
49471877;49471877;En ligne;0005;C5;1;;48.084313,-1.692025;0
66296321;66296321;Hors-service;;;;;48.146792,-1.706024;
46467512;46467512;En ligne;0011;11;1;;48.087477,-1.6434;-182
49271586;49271586;Hors-service;;;;;48.10976,-1.64155;
65495157;65495157;Hors-service;;;;;48.146639,-1.705795;
46066930;46066930;Hors-service;;;;;48.109759,-1.642505;
48670713;48670713;Hors-service;;;;;48.110319,-1.641787;
65895739;65895739;Hors-service;;;;;48.147439,-1.705638;
45265766;45265766;Hors-service;;;;;48.110318,-1.64203;
48069840;48069840;En ligne;0057;57;1;;48.046931,-1.742109;35
63692538;63692538;Hors-service;;;;;48.051914,-1.717076;
44865184;44865184;Hors-service;;;;;48.109674,-1.642834;
47669258;47669258;Hors-service;;;;;48.110237,-1.641794;
63291956;63291956;Hors-service;;;;;48.11136,-1.643952;
44464602;44464602;Hors-service;;;;;48.109679,-1.642916;
47468967;47468967;Hors-service;;;;;48.111276,-1.644025;
63091665;63091665;Hors-service;;;;;48.109915,-1.641065;
43062565;43062565;Hors-service;;;;;48.064801,-1.702989;
46667803;46667803;En ligne;0002;C2;0;;48.092076,-1.637628;-308
51074205;51074205;En ligne;0057;57;0;;48.073309,-1.712502;13
42862274;42862274;Hors-service;;;;;48.064639,-1.702746;
44664893;44664893;Hors-service;;;;;48.109679,-1.642916;
50473332;50473332;En ligne;0050;50;0;;48.155196,-1.573154;0
42261401;42261401;Hors-service;;;;;48.063833,-1.701706;
43663438;43663438;Hors-service;;;;;48.110073,-1.641389;
49672168;49672168;Hors-service;;;;;48.109754,-1.641469;
26438412;26438412;Hors-service;;;;;48.110395,-1.64283;
43463147;43463147;Hors-service;;;;;48.109918,-1.640985;
48871004;48871004;En ligne;0059;59;1;;48.049298,-1.707203;-94
26238121;26238121;Hors-service;;;;;48.109597,-1.642033;
42661983;42661983;Hors-service;;;;;48.06384,-1.701545;
48470422;48470422;Hors-service;;;;;48.10976,-1.641792;
26037830;26037830;Hors-service;;;;;48.109513,-1.642107;
42461692;42461692;Hors-service;;;;;48.063837,-1.701625;
48270131;48270131;En ligne;0059;59;0;;48.088156,-1.674512;0
24635793;24635793;Hors-service;;;;;48.110233,-1.641228;
25837539;25837539;Hors-service;;;;;48.1096,-1.642195;
